시도,연도,분기,합계,내과,신경과,정신건강의학과,외과,정형외과,신경외과,심장혈관흉부외과,성형외과,마취통증의학과,산부인과,소아청소년과,안과,이비인후과,피부과,비뇨의학과,영상의학과,방사선종양학과,병리과,진단검사의학과,결핵과,재활의학과,핵의학과,가정의학과,응급의학과,직업환경의학과,예방의학과
경북,2020,3,3182,576,76,180,285,260,117,53,41,164,207,192,117,125,41,97,108,8,14,23,3,76,2,253,110,39,15
경남,2020,3,4893,960,139,242,360,369,204,70,55,277,305,372,160,197,82,134,211,13,40,39,2,127,7,324,126,66,12
제주,2020,3,1045,178,24,37,74,81,38,18,25,52,68,73,37,45,21,28,35,4,8,13,1,35,3,92,49,3,3
세종,2020,3,458,87,9,17,23,24,16,6,6,25,28,61,17,28,13,17,6,2,5,2,0,7,1,43,14,0,1
서울,2020,4,25806,4870,541,1106,1622,1654,684,295,1212,1505,1604,1385,1135,1136,901,722,1410,124,355,300,17,624,98,1941,423,97,45
부산,2020,4,7100,1465,164,308,518,545,212,86,167,381,478,446,314,327,161,188,283,27,78,73,3,163,21,530,104,47,11
인천,2020,4,4554,889,85,170,326,378,165,53,77,236,285,315,184,218,98,128,163,14,43,49,2,130,11,337,147,46,5
대구,2020,4,5180,1041,144,197,380,368,185,54,136,282,325,353,234,224,135,163,197,20,62,51,1,123,20,367,82,18,18
광주,2020,4,3186,655,71,115,224,242,120,34,44,189,212,233,109,139,84,93,128,3,26,38,0,78,8,231,92,13,5
대전,2020,4,3066,588,84,138,193,239,93,49,62,159,192,206,120,133,76,85,141,11,29,29,3,108,7,238,59,19,5
울산,2020,4,1588,302,27,58,123,115,54,24,33,85,116,115,64,69,29,52,74,4,11,13,0,30,4,107,40,31,8
경기,2020,4,20719,3936,452,859,1349,1687,675,217,241,1101,1370,1614,725,1019,535,571,864,62,189,214,17,568,45,1673,581,121,34
강원,2020,4,2228,430,45,90,184,181,84,40,37,126,152,154,74,88,33,55,95,11,15,29,2,60,3,146,74,15,5
충북,2020,4,2171,371,49,111,170,169,86,38,26,125,140,148,85,92,37,64,87,3,10,19,0,59,3,191,55,30,3
충남,2020,4,2673,471,61,125,239,194,82,38,40,137,187,188,101,104,45,83,100,7,14,22,1,59,4,252,82,30,7
전북,2020,4,2998,591,64,135,244,218,102,34,48,167,186,205,103,99,64,70,126,8,27,26,3,78,11,289,76,17,7
전남,2020,4,2615,479,46,123,248,194,99,44,36,160,161,154,74,98,31,81,127,8,14,32,1,52,10,245,67,27,4
경북,2020,4,3168,573,76,175,277,260,120,53,43,164,202,190,114,127,41,100,110,8,13,23,2,78,2,254,110,38,15
경남,2020,4,4891,954,136,243,359,368,202,70,55,276,304,376,162,196,85,133,210,13,42,39,2,129,7,326,126,66,12
제주,2020,4,1050,178,24,36,73,82,37,19,24,51,67,77,39,45,21,28,35,4,9,14,1,35,3,93,49,3,3
세종,2020,4,464,86,9,19,25,27,15,6,6,23,28,63,18,28,13,16,6,2,5,2,0,7,1,44,14,0,1
